Taxon,Group
Mustelus_widodoi,Chondrichthyes
Mustelus_griseus,Chondrichthyes
Sphyrna_lewini,Chondrichthyes
Hemigaleus_microstoma,Chondrichthyes
Triakis,Chondrichthyes
Leptochariidae,Chondrichthyes
Proscylliidae,Chondrichthyes
Pseudotriakidae,Chondrichthyes
Galeus,Chondrichthyes
Scyliorhinus_canicula,Chondrichthyes
Heterodontus_francisci,Chondrichthyes
Callorhinchus_callorynchus,Chondrichthyes
Callorhinchus_capensis,Chondrichthyes
Callorhinchus_milii,Chondrichthyes
Neoharriotta_pinnata,Chondrichthyes
Harriotta_raleighana,Chondrichthyes
Rhinochimaera_pacifica,Chondrichthyes
Hydrolagus_lemures,Chondrichthyes
Chimaera_phantasma,Chondrichthyes
Hydrolagus_africanus,Chondrichthyes
Hydrolagus_cf._alberti_ML-2012,Chondrichthyes
Hydrolagus_colliei,Chondrichthyes
Hydrolagus_novaezealandiae,Chondrichthyes
Chimaera_monstrosa,Chondrichthyes
Chimaera_fulva,Chondrichthyes
Lepisosteus_platostomus,Actinopterygii
Lepisosteus_platyrhincus,Actinopterygii
Lepisosteus_oculatus,Actinopterygii
Lepisosteus_osseus,Actinopterygii
Atractosteus_tropicus,Actinopterygii
Atractosteus_tristoechus,Actinopterygii
Atractosteus_spatula,Actinopterygii
Amia_calva,Actinopterygii
Lepidogalaxias_salamandroides,Actinopterygii
Microstoma_microstoma,Actinopterygii
Bathylagus_pacificus,Actinopterygii
Pseudobathylagus_milleri,Actinopterygii
Bathylagus_antarcticus,Actinopterygii
Bathylagus_euryops,Actinopterygii
Bathylagus_tenuis,Actinopterygii
Leuroglossus_stilbius,Actinopterygii
Bathylagoides_wesethi,Actinopterygii
Lipolagus_ochotensis,Actinopterygii
Dolicholagus_longirostris,Actinopterygii
Macropinna_microstoma,Actinopterygii
Rhynchohyalus_natalensis,Actinopterygii
Argentina_silus,Actinopterygii
Argentina_sphyraena,Actinopterygii
Argentina_striata,Actinopterygii
Argentina_sialis,Actinopterygii
Nansenia_candida,Actinopterygii
Nansenia_longicauda,Actinopterygii
Nansenia_ardesiaca,Actinopterygii
Nansenia_antarctica,Actinopterygii
Umbra_krameri,Actinopterygii
Umbra_limi,Actinopterygii
Umbra_pygmaea,Actinopterygii
Esox_niger,Actinopterygii
Esox_americanus_americanus,Actinopterygii
Esox_americanus_vermiculatus,Actinopterygii
Esox_flaviae,Actinopterygii
Esox_lucius,Actinopterygii
Esox_reichertii,Actinopterygii
Esox_masquinongy,Actinopterygii
Novumbra_hubbsi,Actinopterygii
Dallia_pectoralis,Actinopterygii
Oncorhynchus_chrysogaster,Actinopterygii
Oncorhynchus_mykiss,Actinopterygii
Oncorhynchus_gilae,Actinopterygii
Oncorhynchus_clarkii,Actinopterygii
Oncorhynchus_tshawytscha,Actinopterygii
Oncorhynchus_kisutch,Actinopterygii
Oncorhynchus_keta,Actinopterygii
Oncorhynchus_gorbuscha,Actinopterygii
Oncorhynchus_nerka,Actinopterygii
Oncorhynchus_masou,Actinopterygii
Salvelinus_namaycush,Actinopterygii
Salvelinus_levanidovi,Actinopterygii
Salvelinus_albus,Actinopterygii
Salvelinus_kuznetzovi,Actinopterygii
Salvelinus_drjagini,Actinopterygii
Salvelinus_alpinus,Actinopterygii
Salvelinus_malma_miyabei,Actinopterygii
Salvelinus_curilus,Actinopterygii
Salvelinus_malma_malma,Actinopterygii
Salvelinus_boganidae,Actinopterygii
Salvelinus_elgyticus,Actinopterygii
Salvelinus_confluentus,Actinopterygii
Salvelinus_malma_lordi,Actinopterygii
Salvelinus_taranetzi,Actinopterygii
Salvelinus_neiva,Actinopterygii
Salvethymus_svetovidovi,Actinopterygii
Salvelinus_leucomaenis,Actinopterygii
Salvelinus_fontinalis,Actinopterygii
Parahucho_perryi,Actinopterygii
Salmo_marmoratus,Actinopterygii
Salmo_carpio,Actinopterygii
Salmo_platycephalus,Actinopterygii
Salmo_trutta_fario,Actinopterygii
Salmo_macrostigma,Actinopterygii
Salmo_obtusirostris,Actinopterygii
Salmo_ohridanus,Actinopterygii
Salmo_trutta_trutta,Actinopterygii
Salmo_salar,Actinopterygii
Salmo_labrax,Actinopterygii
Salvelinus_schmidti,Actinopterygii
Salvelinus_kronocius,Actinopterygii
Brachymystax_lenok,Actinopterygii
Brachymystax_tumensis,Actinopterygii
Brachymystax_savinovi,Actinopterygii
Hucho_bleekeri,Actinopterygii
Hucho_taimen,Actinopterygii
Hucho_hucho,Actinopterygii
Thymallus_grubii,Actinopterygii
Thymallus_yaluensis,Actinopterygii
Thymallus_tugarinae,Actinopterygii
Thymallus_pallasii,Actinopterygii
Thymallus_arcticus,Actinopterygii
Thymallus_baicalensis,Actinopterygii
Thymallus_brevirostris,Actinopterygii
Thymallus_thymallus,Actinopterygii
